Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id,Cluster
14883419_A2,Ausgang,Bonne Conduite,Gangrene,"Hip Hop, Rock",,8,0.48,0.696,-4.629,0.277,0.00366,0.0,0.057,0.441,171.753,4.0,4:05,C Major,8B,0.0,1.0,1mPjqC3tgbLwuKGyM8U7Ws,4.0
14883419_B1,Ausgang,Chuck Berry,Gangrene,"Hip Hop, Rock",,14,0.532,0.655,-6.235,0.198,0.00601,0.0,0.12,0.192,146.59,4.0,4:05,A Major,11B,9.0,1.0,6orjSjQENfZM7ndPXxckvb,4.0
14883419_B2,Ausgang,Comme Une Ombre,Gangrene,"Hip Hop, Rock",,6,0.561,0.476,-5.844,0.0365,0.0195,0.0,0.0913,0.0802,131.575,4.0,5:04,A#/B♭ Major,6B,10.0,1.0,2FLoW0IyR1ghpjIwGzJoAL,6.0
14883419_B3,Ausgang,Crapule,Gangrene,"Hip Hop, Rock",,6,0.445,0.877,-4.921,0.384,0.00228,0.0,0.251,0.797,177.392,4.0,3:10,A#/B♭ Major,6B,10.0,1.0,6WKtTZRlVfgemg49r2ZdZA,4.0
14883419_C1,Ausgang,Aidez-Moi,Gangrene,"Hip Hop, Rock",,6,0.721,0.7,-4.62,0.0373,0.109,0.0,0.0791,0.746,126.03,4.0,4:55,D Minor,7A,2.0,0.0,1he7D4M3QyvceOCLOgaIdo,3.0
14883419_C2,Ausgang,Ma Complice,Gangrene,"Hip Hop, Rock",,3,0.428,0.763,-4.831,0.289,0.0684,0.0,0.145,0.823,147.905,4.0,4:08,E Major,12B,4.0,1.0,59S1GyBFpXxoLZCLvKsX0v,4.0
14883419_C3,Ausgang,Elite,Gangrene,"Hip Hop, Rock",,3,0.462,0.634,-7.045,0.369,0.106,0.000128,0.105,0.219,169.452,4.0,6:03,A Major,11B,9.0,1.0,068oY4rt6Dwf4g2IQeyUBw,4.0
14883419_D2,Ausgang,Batard,Gangrene,"Hip Hop, Rock",,3,0.401,0.827,-4.575,0.193,0.000907,0.0,0.178,0.659,154.993,4.0,3:08,E Minor,9A,4.0,0.0,0t8wMDbDmb1dbyqynENJKd,4.0
1449729_A1,L.T.D.,You Gave Me Love,Shine On,Funk / Soul,"Soul, Funk, Disco",8,0.832,0.568,-10.603,0.064,0.246,0.0,0.217,0.869,122.133,4.0,4:27,A#/B♭ Minor,3A,10.0,0.0,6GmMHnooOyyUQMFCESdr4N,2.0
1449729_A2,L.T.D.,Where Did We Go Wrong,Shine On,Funk / Soul,"Soul, Funk, Disco",40,0.555,0.309,-14.462,0.0294,0.753,3.83e-05,0.141,0.352,132.033,4.0,4:28,C Major,8B,0.0,1.0,65E003YDvOfow75UKALZZG,7.0
1449729_A3,L.T.D.,Getaway,Shine On,Funk / Soul,"Soul, Funk, Disco",3,0.741,0.684,-12.373,0.0409,0.4,0.0083,0.102,0.964,101.736,4.0,4:19,C♯/D♭ Major,3B,1.0,1.0,1G1qqxtlutWnjKZhhdC8Vx,2.0
1449729_A4,L.T.D.,Will Love Grow,Shine On,Funk / Soul,"Soul, Funk, Disco",22,0.464,0.31,-18.866,0.0632,0.856,0.000183,0.103,0.393,80.247,4.0,4:21,B Minor,10A,11.0,0.0,5EnRixsJYqq25O2ucQuh6H,0.0
1449729_B1,L.T.D.,Love Is What You Need,Shine On,Funk / Soul,"Soul, Funk, Disco",6,0.788,0.53,-11.805,0.215,0.373,0.0,0.319,0.808,116.722,4.0,4:15,A Major,11B,9.0,1.0,7vvtZNcqqdYYCDF3xTKxzB,2.0
1449729_B2,L.T.D.,Shine On,Shine On,Funk / Soul,"Soul, Funk, Disco",29,0.396,0.256,-14.631,0.0373,0.711,0.0,0.242,0.213,138.454,4.0,3:58,C Major,8B,0.0,1.0,5v8irwdQBDgs4ti2krEvQE,7.0
1449729_B3,L.T.D.,Lovers Everywhere,Shine On,Funk / Soul,"Soul, Funk, Disco",27,0.655,0.53,-12.965,0.0341,0.77,0.00164,0.111,0.956,148.918,4.0,3:45,F#/G♭ Minor,11A,6.0,0.0,39rmvNymWBx6H4t0JXxR7x,2.0
