album_id,artist,album,track_id,title
403224,Eminem,The Eminem Show,403224_B1,The Kiss (Skit)
403224,Eminem,The Eminem Show,403224_B2,Soldier
403224,Eminem,The Eminem Show,403224_B3,Say Goodbye Hollywood
403224,Eminem,The Eminem Show,403224_B4,Drips
403224,Eminem,The Eminem Show,403224_B5,Without Me
403224,Eminem,The Eminem Show,403224_C1,Paul Rosenberg (Skit)
403224,Eminem,The Eminem Show,403224_C2,Sing For The Moment
403224,Eminem,The Eminem Show,403224_C3,Superman
403224,Eminem,The Eminem Show,403224_D1,Steve Berman (Skit)
403224,Eminem,The Eminem Show,403224_D2,When The Music Stops
403224,Eminem,The Eminem Show,403224_D3,Say What You Say
403224,Eminem,The Eminem Show,403224_D4,Till I Collapse
403224,Eminem,The Eminem Show,403224_D6,Curtains Close (Skit)
1684688,Popof,Head Cleaner,1684688_A,Head Cleaner
1684688,Popof,Head Cleaner,1684688_AA,Mr. Orange
9241732,Silvia Trix,Intercity Ep,9241732_A1,Intercity
9241732,Silvia Trix,Intercity Ep,9241732_B1,Altan 3
9241732,Silvia Trix,Intercity Ep,9241732_B2,Crossings
9395142,French 79,Olympic,9395142_A1,Between The Buttons
9395142,French 79,Olympic,9395142_A2,Golden Times
9395142,French 79,Olympic,9395142_A3,DDROPP
9395142,French 79,Olympic,9395142_A4,Diamond Veins
9395142,French 79,Olympic,9395142_A5,Olympic
9395142,French 79,Olympic,9395142_A6,Hush Hush
9395142,French 79,Olympic,9395142_B1,Vertigo Valley
9395142,French 79,Olympic,9395142_B2,Invisible Moon
9395142,French 79,Olympic,9395142_B3,After Party
9395142,French 79,Olympic,9395142_B4,1979
9395142,French 79,Olympic,9395142_B6,Pantheon Neon
12641837,System Of A Down,Toxicity,12641837_A1,Prison Song
12641837,System Of A Down,Toxicity,12641837_A2,Needles
12641837,System Of A Down,Toxicity,12641837_A3,Deer Dance
12641837,System Of A Down,Toxicity,12641837_A4,Jet Pilot
12641837,System Of A Down,Toxicity,12641837_A5,X
12641837,System Of A Down,Toxicity,12641837_A6,Chop Suey!
12641837,System Of A Down,Toxicity,12641837_A7,Bounce
12641837,System Of A Down,Toxicity,12641837_A8,Forest
12641837,System Of A Down,Toxicity,12641837_B1,ATWA
12641837,System Of A Down,Toxicity,12641837_B2,Science
12641837,System Of A Down,Toxicity,12641837_B3,Shimmy
12641837,System Of A Down,Toxicity,12641837_B4,Toxicity
12641837,System Of A Down,Toxicity,12641837_B5,Psycho
12641837,System Of A Down,Toxicity,12641837_B6,Aerials
12641837,System Of A Down,Toxicity,12641837_B7,Arto
10442772,The Blaze,Territory,10442772_A1,Prelude
10442772,The Blaze,Territory,10442772_A2,Territory
10442772,The Blaze,Territory,10442772_A3,Virile
10442772,The Blaze,Territory,10442772_B1,Interlude
10442772,The Blaze,Territory,10442772_B2,Juvenile
10442772,The Blaze,Territory,10442772_B3,Sparks & Ashes
20773192,Curtis Harding,If Words Were Flowers,20773192_A1,If Words Were Flowers
20773192,Curtis Harding,If Words Were Flowers,20773192_A2,Hopeful
20773192,Curtis Harding,If Words Were Flowers,20773192_A4,With You
20773192,Curtis Harding,If Words Were Flowers,20773192_A5,Explore
20773192,Curtis Harding,If Words Were Flowers,20773192_B2,The One
20773192,Curtis Harding,If Words Were Flowers,20773192_B3,So Low
20773192,Curtis Harding,If Words Were Flowers,20773192_B4,Forever More
1638442,The Beatles,1,1638442_A1,Love Me Do
1638442,The Beatles,1,1638442_A2,From Me To You
1638442,The Beatles,1,1638442_A3,She Loves You
1638442,The Beatles,1,1638442_A4,I Want To Hold Your Hand
1638442,The Beatles,1,1638442_A7,I Feel Fine
1638442,The Beatles,1,1638442_A8,Eight Days A Week
1638442,The Beatles,1,1638442_B1,Ticket To Ride
1638442,The Beatles,1,1638442_B2,Help!
1638442,The Beatles,1,1638442_B3,Yesterday
1638442,The Beatles,1,1638442_B4,Day Tripper
1638442,The Beatles,1,1638442_B5,We Can Work It Out
1638442,The Beatles,1,1638442_B6,Paperback Writer
1638442,The Beatles,1,1638442_B7,Yellow Submarine
1638442,The Beatles,1,1638442_B8,Eleanor Rigby
1638442,The Beatles,1,1638442_C1,Penny Lane
1638442,The Beatles,1,1638442_C2,All You Need Is Love
1638442,The Beatles,1,1638442_C3,"Hello, Goodbye"
1638442,The Beatles,1,1638442_C4,Lady Madonna
1638442,The Beatles,1,1638442_C5,Hey Jude
1638442,The Beatles,1,1638442_D1,Get Back
1638442,The Beatles,1,1638442_D2,The Ballad Of John And Yoko
1638442,The Beatles,1,1638442_D3,Something
1638442,The Beatles,1,1638442_D4,Come Together
1638442,The Beatles,1,1638442_D5,Let It Be
1638442,The Beatles,1,1638442_D6,The Long And Winding Road
1279085,Ray Charles,The Legend Lives...,1279085_A1,Together Again
1279085,Ray Charles,The Legend Lives...,1279085_A2,Yesterday
1279085,Ray Charles,The Legend Lives...,1279085_A3,Born To Lose
1279085,Ray Charles,The Legend Lives...,1279085_A6,Eleanor Rigby
1279085,Ray Charles,The Legend Lives...,1279085_A7,Take These Chains From My Heart
1279085,Ray Charles,The Legend Lives...,1279085_A9,Georgia On My Mind
1279085,Ray Charles,The Legend Lives...,1279085_B1,Crying Time
1279085,Ray Charles,The Legend Lives...,1279085_B2,Hit The Road Jack
1279085,Ray Charles,The Legend Lives...,1279085_B4,Ruby
1279085,Ray Charles,The Legend Lives...,1279085_B7,Busted
1279085,Ray Charles,The Legend Lives...,1279085_B9,Here We Go Again
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_A1,Nuit Apache
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_A2,Ibrahim
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_A3,Vie De Singe
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_A4,Tzigane Tzigane
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_B1,Casse-Tête Chinois
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_B2,Jim-La-Jungle
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_B3,S.O.S.
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_B4,Descendons Dans La Rue
4867103,Bérurier Noir,"""Abracadaboum!""",4867103_B5,Et Hop
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),4116894_A1,Ghostbusters
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),4116894_A4,In The Name Of Love
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),4116894_A5,I Can Wait Forever
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),4116894_B1,Hot Night
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),4116894_B2,Magic
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),4116894_B3,Main Title Theme (Ghostbusters)
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),4116894_B5,Ghostbusters (Instrumental Version)
2470454,Ray Parker Jr.,A Woman Needs Love,2470454_A1,A Woman Needs Love (Just Like You Do)
2470454,Ray Parker Jr.,A Woman Needs Love,2470454_A3,That Old Song
