,album_id,artist,album,track_id,title,spotify_id
1102,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_B6,Oh Mom (Teach Me How To Uncle Willie),
1103,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_B8,Go Now,
1117,11836199,Pyotr Ilyich Tchaikovsky,La Belle Au Bois Dormant,11836199_A1,N°1 Marche,
1118,11836199,Pyotr Ilyich Tchaikovsky,La Belle Au Bois Dormant,11836199_A3,N°6 Valse,
1119,11836199,Pyotr Ilyich Tchaikovsky,La Belle Au Bois Dormant,11836199_A4,N°7 Scène,
1120,11836199,Pyotr Ilyich Tchaikovsky,La Belle Au Bois Dormant,11836199_B1,N°22 Polacca,
1121,11836199,Pyotr Ilyich Tchaikovsky,La Belle Au Bois Dormant,11836199_B5,N°24 Pas De Caractère (Le Chat Botté Et La Chatte Blanche),
1122,11836199,Pyotr Ilyich Tchaikovsky,La Belle Au Bois Dormant,11836199_B9,N°26 Pas De Caractère (Chaperon Rouge Et Le Loup),
1123,11836199,Pyotr Ilyich Tchaikovsky,La Belle Au Bois Dormant,11836199_B13,N° 30 Finale : Apothéose,
1135,13451934,Kompromat,Traum Und Existenz,13451934_A5,Die Tausende Herbste,
1139,13451934,Kompromat,Traum Und Existenz,13451934_B4,Auf Immer Und Ewig,
1168,11285786,Fugees,The Score,11285786_A5,The Beast,
1200,1608644,Téléphone,Téléphone,1608644_A1,Anna,
1204,1608644,Téléphone,Téléphone,1608644_A5,Téléphomme,
1248,9300622,The Clash,The Clash,9300622_A7,Deny,
1250,9300622,The Clash,The Clash,9300622_B2,Cheat,
1256,14869326,Bon Entendeur,Aller - Retour,14869326_A2,Entrevue Optimisme,
1282,11947226,Nas,I Am...,11947226_A1,N.Y. State Of Mind Pt. II,
1296,4571916,Various,Immortal Masterpieces Of Classical Music - Tales And Legends,4571916_B1,The Sleeping Beauty,
1297,4571916,Various,Immortal Masterpieces Of Classical Music - Tales And Legends,4571916_C1,The Tales Of The Fair Melusina,
1298,4571916,Various,Immortal Masterpieces Of Classical Music - Tales And Legends,4571916_C2,Scheherazade (2nd Mvt.),
1299,4571916,Various,Immortal Masterpieces Of Classical Music - Tales And Legends,4571916_D1,Scheherazade (3rd Mvt.),
1300,4571916,Various,Immortal Masterpieces Of Classical Music - Tales And Legends,4571916_D2,Mazeppa,
1301,4390281,Various,The Jazz Story,4390281_A1,Bugle Boy March,
1302,4390281,Various,The Jazz Story,4390281_A2,"He Is My Rock, My Sword, My Shield",
1303,4390281,Various,The Jazz Story,4390281_A3,The Thriller Rag,
1306,4390281,Various,The Jazz Story,4390281_A6,Lagniappe,
1308,4390281,Various,The Jazz Story,4390281_A8,Milenberg Joys,
1311,4390281,Various,The Jazz Story,4390281_B5,Ole Miss,
1312,4390281,Various,The Jazz Story,4390281_B6,Qua-Ti Blues,
1314,4390281,Various,The Jazz Story,4390281_C3,Froggie Moore,
1316,4390281,Various,The Jazz Story,4390281_C6,Quiet Please,
1317,4390281,Various,The Jazz Story,4390281_D1,Sweet Marijuana Brown,
1318,4390281,Various,The Jazz Story,4390281_D2,Walking And Talking To Myself,
1319,4390281,Various,The Jazz Story,4390281_D3,Have You Ever Felt This Way ?,
1322,4390281,Various,The Jazz Story,4390281_E1,Big Butter And Egg Man,
1326,4390281,Various,The Jazz Story,4390281_E6,Jelly Roll Blues,
1327,4390281,Various,The Jazz Story,4390281_F3,Chimes Blues,
1329,4390281,Various,The Jazz Story,4390281_F5,Stuyvesant Blues,
1331,4390281,Various,The Jazz Story,4390281_G1,Sugarfoot Stomp,
1339,4390281,Various,The Jazz Story,4390281_I5,Fire And Mellow,
1340,4390281,Various,The Jazz Story,4390281_I6,Happy Medium,
1341,4390281,Various,The Jazz Story,4390281_J1,Avalon,
1342,4390281,Various,The Jazz Story,4390281_J2,Suspicion Blues,
1343,4390281,Various,The Jazz Story,4390281_J3,I Know That You Know,
1344,4390281,Various,The Jazz Story,4390281_J4,Love You Funny Thing,
1345,4390281,Various,The Jazz Story,4390281_K1,Hallelujah,
