,album_id,artist,album,track_id,title,spotify_id
130,5215304,Eminem,The Slim Shady LP,5215304_C13,Cum On Everybody,6uXX9OgGchFrr2bq8RgIg6
131,5215304,Eminem,The Slim Shady LP,5215304_C14,Rock Bottom,3guazByz82uD2zHf8q7As1
132,5215304,Eminem,The Slim Shady LP,5215304_D16,Soap,2aXwXcdR1aGCYesbEr2DgV
133,5215304,Eminem,The Slim Shady LP,5215304_D17,As The World Turns,0TBzphxYIeDLP9DAJUSUbP
134,5215304,Eminem,The Slim Shady LP,5215304_D19,Bad Meets Evil,7kQ0miyexmevMwUDqTomIN
135,5252470,Eminem,The Marshall Mathers LP,5252470_A1,Public Service Announcement 2000,1WopKLOG4Kud0H1r3xrCfT
136,5252470,Eminem,The Marshall Mathers LP,5252470_A2,Kill You,5eGEc27nnhtmcOh6RC890a
137,5252470,Eminem,The Marshall Mathers LP,5252470_A3,Stan,3UmaczJpikHgJFyBTAJVoz
138,5252470,Eminem,The Marshall Mathers LP,5252470_A4,Paul (Skit),2vDNkLviUQSxSxulGBFSqJ
139,5252470,Eminem,The Marshall Mathers LP,5252470_A5,Who Knew,15joiMls8SpP1VtGivYh6i
140,5252470,Eminem,The Marshall Mathers LP,5252470_A6,Steve Berman,0DaZU7iKgXMelfXCkCOgBK
141,5252470,Eminem,The Marshall Mathers LP,5252470_B1,The Way I Am,23wfXwnsPZYe5A1xXRHb3J
142,5252470,Eminem,The Marshall Mathers LP,5252470_B2,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR
143,5252470,Eminem,The Marshall Mathers LP,5252470_B3,Remember Me?,7996f9NZeypc4jqfc6hJUa
144,5252470,Eminem,The Marshall Mathers LP,5252470_C1,Marshall Mathers,3X4Oz9LjhhtgyOhVNlfoYa
145,5252470,Eminem,The Marshall Mathers LP,5252470_C2,Ken Kaniff (Skit),4HsaoezrUA96qMzDK3ZWnq
146,5252470,Eminem,The Marshall Mathers LP,5252470_C3,Drug Ballad,7tEoJKbYdIHBfn7tTIyjHW
147,5252470,Eminem,The Marshall Mathers LP,5252470_C4,Amityville,0erTM8A9ro5kzcNc962jHd
148,5252470,Eminem,The Marshall Mathers LP,5252470_C5,B**** Please II,7lgvU7WnwcNZ8dbGUz8yhP
149,5252470,Eminem,The Marshall Mathers LP,5252470_D1,Kim,20oenBXlmwIfK0F3fQIjhM
150,5252470,Eminem,The Marshall Mathers LP,5252470_D2,Under The Influence,5H3B1WtZYGmyOYOXgQltKU
151,5252470,Eminem,The Marshall Mathers LP,5252470_D3,Criminal,18ohWhzbMCynq5QJ68ifkW
152,18669670,Eminem,Music To Be Murdered By (Side B),18669670_A1,Premonition (Intro),7ccTcabbJlCJiIqtrSSwBk
153,18669670,Eminem,Music To Be Murdered By (Side B),18669670_A2,Unaccommodating ,0q2vG0UVuy6ajjcpkQHdZM
154,18669670,Eminem,Music To Be Murdered By (Side B),18669670_A4,Alfred (Interlude),4EmunTy7kNBYQivOa8F6b8
155,18669670,Eminem,Music To Be Murdered By (Side B),18669670_A5,Those Kinda Nights,0VSzREd1OjEWJ9tXoFHRQH
156,18669670,Eminem,Music To Be Murdered By (Side B),18669670_A6,In Too Deep,7Dj2wqPYXfSRFwa6qyOztr
157,18669670,Eminem,Music To Be Murdered By (Side B),18669670_B7,Godzilla,6qBffi4yVR6ZpfPOo6TaGc
158,18669670,Eminem,Music To Be Murdered By (Side B),18669670_B8,Darkness,5SiZJoLXp3WOl3J4C8IK0d
159,18669670,Eminem,Music To Be Murdered By (Side B),18669670_B9,Leaving Heaven,5CpsIb7SMFHjmAG8RvIWfq
160,18669670,Eminem,Music To Be Murdered By (Side B),18669670_B10,Yah Yah,5mZXWEH2eh8zMZGCxT5aW0
161,18669670,Eminem,Music To Be Murdered By (Side B),18669670_C11,Stepdad (Intro),2d3fdQ6OxmUIsF20eCpcrv
